collection-date,link-id,vpn-id,service-order.pid,service-order.date-of-provisioning,service-order.service-type,service-order.service-offering,service-order.order-details.service-order-no,service-order.order-details.order-type,stack-type,site-details.location-code,site-details.vendor,site-details.homing-type,primary-link.device,primary-link.interface-type,primary-link.interface-id,primary-link.svlan,primary-link.description,primary-link.ipv4.pe-ipv4-address,primary-link.ipv4.ce-ipv4-address,vrf.vrf-name,vrf.extranet,vrf.maximum-prefixes,vrf.prefixes-threshold,routing.static.ipv4-routes.ipv4-prefixes.network-subnet,routing.static.ipv4-routes.next-hop,routing.maximum-paths.multipath-type,routing.maximum-paths.path-no,qos.policy-type,qos.in-policy-standard,routing,qos.out-policy-standard,service-order.order-details.userid,service-order.order-details.date-of-change,vrf.label-mode,primary-link.mtu,qos.policy-name,qos.direction,qos.flat.mode,qos.flat.default-class-bandwidth,qos.flat.default-class-marking,qos.define-policy,routing.bgp.peer-ipv4,routing.bgp.remote-as,routing.bgp.address-family-ipv4.in-route-policy,routing.bgp.address-family-ipv4.out-route-policy,routing.bgp.local-as.as-number,routing.bgp.local-as.no-prepend,routing.bgp.prefix.maximum,routing.bgp.prefix.threshold,routing.bgp.prefix.warning-only,routing.bgp.local-as.replace-as,site-details.dual-homing.mode,site-details.dual-homing.homing-type,secondary-link.device,secondary-link.interface-id,secondary-link.svlan,secondary-link.ipv4.pe-ipv4-address,secondary-link.ipv4.ce-ipv4-address,routing.bgp.secondary-peer-ipv4,routing.bgp.address-family-ipv4.secondary-in-route-policy,routing.bgp.address-family-ipv4.secondary-out-route-policy,routing.additional-paths,routing.static.ipv4-routes.secondary-next-hop,primary-link.admin-status,secondary-link.admin-status,route-filtering.route-policy.route-policy-name,route-filtering.route-policy.action-type,route-filtering.route-policy.global-action,route-filtering.route-policy.global-set-action.set-community,route-filtering.route-policy.route-policy-actions.condition-type,route-filtering.route-policy.route-policy-actions.action-type,multicast.multicast-site,multicast.multicast-ssm-mapping,multicast.ssm-mapping.ssm-mapping-acl-name,multicast.ssm-mapping.ssm-mapping-group,multicast.igmp.static-groups.group-address,multicast.igmp.static-groups.source-address,vrrp.ipv4-virtual-ip,vrrp.vrrp-id,vrrp.preempt-delay,vrrp.track-interfaces.link-type,vrrp.track-interfaces.track-interface,vrrp.track-interfaces.priority-decrement,vrf.role,site-details.point-of-interconnect,route-filtering.route-policy.global-set-action.set-local-pref,route-filtering.route-policy.global-set-action.set-weight,routing.static.ipv4-routes.ipv4-prefixes.admin-distance,routing.static.ipv4-routes.ipv4-prefixes.secondary-admin-distance,routing.static.ipv4-routes.bfd.minimum-interval,routing.static.ipv4-routes.bfd.multiplier,routing.static.ipv4-routes.secondary-ipv4-route-policy,routing.static.ipv4-routes.ipv4-route-policy,vrf.agg-link-id,vrf.no-hub-import,vrf.additional-running-no,vrf.route-target.rt-value,vrf.route-target.set-rt,routing.advertise-best-external,vrf.spoke-mesh-only
26/03/2021 15:53:00,3DEI04-112017-85053,IPR3179_GOLDLCS,PID_1-106R9M6,29012021,ipvpn,premium,CBG202004030003239,Create,ipv4,LIPS,Cisco,single,LIPS1300CICU001,sub-interface,Bundle-Ether5003,1721.0,GOLDLCS_PID_1-106R9M6,10.229.7.105/30,10.229.7.106,IPR3179_GOLDLCS,False,8000.0,80.0,10.220.2.64/27,10.229.7.106,ibgp,2.0,standard,PLDT-ENT-DEFAULT-IN,static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,A2I01-122019-74303,IPR3294_AIR21,PID1-19SCJJG,03022021,ipvpn,premium,SME201912170026977,Create,ipv4,MTP,Cisco,single,MTPPXALACICU001,sub-interface,Bundle-Ether10001,1157.0,AIRFREIGHT 2100 INC_BRAINS IPVPN-LL_2M,10.229.100.217/30,10.229.100.218,IPR3294_AIR21,False,8000.0,80.0,,,,,standard,PLDT-ENT-2400K-AF3-UNI-IN,direct,PLDT-ENT-2400K-AF3-UNI-OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,AATC01-092017-84289,IPR3063_ABOITIZ,1-11XD5J3,19112020,ipvpn,premium,IPR3063_ABOITIZ,CREATE,ipv4,CLA,Cisco,single,CLA00633CICU001,sub-interface,Bundle-Ether10003,1109.0,ABOITIZ_PID_1-11XD5J3,10.229.46.217/30,10.229.46.218,IPR3063_ABOITIZ,False,8000.0,80.0,172.30.9.0/27,10.229.46.218,ibgp,2.0,standard,PLDT-ENT-DEFAULT-IN,static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,AATC01-092017-84289,IPR3063_ABOITIZ,1-11XD5J3,19112020,ipvpn,premium,IPR3063_ABOITIZ,CREATE,ipv4,CLA,Cisco,single,CLA00633CICU001,sub-interface,Bundle-Ether10003,1109.0,ABOITIZ_PID_1-11XD5J3,10.229.46.217/30,10.229.46.218,IPR3063_ABOITIZ,False,8000.0,80.0,192.168.51.0/24,10.229.46.218,ibgp,2.0,standard,PLDT-ENT-DEFAULT-IN,static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,AATC01-092017-84289,IPR3063_ABOITIZ,1-11XD5J3,19112020,ipvpn,premium,IPR3063_ABOITIZ,CREATE,ipv4,CLA,Cisco,single,CLA00633CICU001,sub-interface,Bundle-Ether10003,1109.0,ABOITIZ_PID_1-11XD5J3,10.229.46.217/30,10.229.46.218,IPR3063_ABOITIZ,False,8000.0,80.0,192.168.221.20/30,10.229.46.218,ibgp,2.0,standard,PLDT-ENT-DEFAULT-IN,static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,ABC02-032010-36194,IPR3115_PNB,PID1-19NXMV3,06102020,ipvpn,Premium,CBG201912090068422,CREATE,ipv4,PRQ,Cisco,single,PRQG0049CICU001,sub-interface,Bundle-Ether10004,1119.0,PHILIPPINE NATIONAL BANK_PID1-19NXMV3_BRAINS IPVPN-LL_2M,172.20.0.225/30,172.20.0.226,IPR3115_PNB,False,8000.0,80.0,172.18.52.192/26,172.20.0.226,ibgp,2.0,standard,PLDT-ENT-2400K-AF3-UNI-IN,static,PLDT-ENT-2400K-AF3-UNI-OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,ACC28-022019-73449,IPR3423_ACDI,PID1-17IENRW,22012021,ipvpn,Premium,CBG201902210052447,CREATE,ipv4,LIPS,Cisco,single,LIPS1300CICU001,sub-interface,Bundle-Ether10001,1114.0,ACDI MULTIPURPOSE COOPERATIVE_PID1-17IENRW_BRAINS IPVPN-LL_2M,10.229.108.65/30,10.229.108.66,IPR3423_ACDI,False,8000.0,80.0,172.17.12.0/24,10.229.108.66,ibgp,2.0,standard,PLDT-ENT-2400K-AF3-UNI-IN,static,PLDT-ENT-2400K-AF3-UNI-OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,ACC28-022019-73449,IPR3423_ACDI,PID1-17IENRW,22012021,ipvpn,Premium,CBG201902210052447,CREATE,ipv4,LIPS,Cisco,single,LIPS1300CICU001,sub-interface,Bundle-Ether10001,1114.0,ACDI MULTIPURPOSE COOPERATIVE_PID1-17IENRW_BRAINS IPVPN-LL_2M,10.229.108.65/30,10.229.108.66,IPR3423_ACDI,False,8000.0,80.0,192.168.117.0/24,10.229.108.66,ibgp,2.0,standard,PLDT-ENT-2400K-AF3-UNI-IN,static,PLDT-ENT-2400K-AF3-UNI-OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,AE14-102006-00005,IPR3493_ADKONEK,PID474864,22012021,ipvpn,Premium,SME201403050071571,CREATE,ipv4,LIPS,Cisco,single,LIPS1300CICU001,sub-interface,Bundle-Ether10001,1103.0,PID474864_Advancekonek Enterprise_IPVPN_2M,192.168.230.1/30,192.168.230.2,IPR3493_ADKONEK,False,8000.0,80.0,192.168.0.0/24,192.168.230.2,ibgp,2.0,standard,PLDT-ENT-2000K-AF3-UNI-IN,static,PLDT-ENT-2000K-AF3-UNI-OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,AE14-102006-00005,IPR3493_ADKONEK,PID474864,22012021,ipvpn,Premium,SME201403050071571,CREATE,ipv4,LIPS,Cisco,single,LIPS1300CICU001,sub-interface,Bundle-Ether10001,1103.0,PID474864_Advancekonek Enterprise_IPVPN_2M,192.168.230.1/30,192.168.230.2,IPR3493_ADKONEK,False,8000.0,80.0,192.168.3.0/24,192.168.230.2,ibgp,2.0,standard,PLDT-ENT-2000K-AF3-UNI-IN,static,PLDT-ENT-2000K-AF3-UNI-OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
