collection-date,vpn-id,customer-name,customer-abbr,vpn-type,topology,running-no,label-mode,huawei-label-mode,multicast,secondary-running-no,cisco-domain-topology,huawei-domain-topology
26/03/2021 15:53:00,123455,TEST,TEST,enterprise,full-mesh,20043,per-ce,per-instance,,,,
26/03/2021 15:53:00,BNG_DRA,BNG,BNG DRA,infra,full-mesh,30001,per-ce,per-instance,,,,
26/03/2021 15:53:00,BNG_EAAA,BNG,BNG EAAA,infra,full-mesh,30002,per-ce,per-instance,,,,
26/03/2021 15:53:00,EAASd,sdf,sdfsdf,enterprise,full-mesh,12312,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR0041_BANKING,PHILIPPINE SEVEN CORPORATION,PSC02,enterprise,full-mesh,41,,,,,,
26/03/2021 15:53:00,IPR20000_TNT_NMS,SMART Pivot,SMART Pivot,infra,full-mesh,20000,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR20001_IPTV,IPTV,IPTV,enterprise,full-mesh,20001,per-ce,,,,,
26/03/2021 15:53:00,IPR20002_FTTH_NMS,FTTH_NMS,FTTH_NMS,enterprise,full-mesh,20002,per-ce,,,,,
26/03/2021 15:53:00,IPR20003_FTTH_VoIP_Prod,FTTH_VoIP_Prod,FTTH_VoIP_Prod,enterprise,full-mesh,20003,per-ce,,,,,
26/03/2021 15:53:00,IPR20004_ABISX,ABISX,ABISX,enterprise,full-mesh,20004,per-ce,,,,,
26/03/2021 15:53:00,IPR20005_IUBX,IUBX,IUBX,enterprise,full-mesh,20005,per-ce,,,,,
26/03/2021 15:53:00,IPR20006_SYNCX,SYNCX,SYNCX,enterprise,full-mesh,20006,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR20007_OAMX,OAMX,OAMX,enterprise,full-mesh,20007,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR20008_S1,S1,S1,enterprise,full-mesh,20008,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR20009_GOLDARC,GOLDARC,GOLDARC,enterprise,full-mesh,20009,per-ce,,,,,
26/03/2021 15:53:00,IPR20010_PJLHUIL,PJLHUIL,PJLHUIL,enterprise,full-mesh,20010,per-ce,,,,,
