HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
BATS0002CIBE001,10.205.138.64,Bundle-Ether111,,TNWS0056CICN001,10.205.142.67,Bundle-Ether101,
BATS0002CIBE001,10.205.138.65,Bundle-Ether252,,BATS0002CICU001,,Bundle-Ether251,
BATS0002CIBE001,10.205.138.64,Bundle-Ether112,,TNWS0056CICN002,,Bundle-Ether101,
BATS0002CIBE001,10.205.138.65,Bundle-Ether103,,LIPS0014CICN001,,Bundle-Ether101,
BATS0002CIBE001,,Bundle-Ether107,,SJE00B06CICN001,,Bundle-Ether101,
BATS0002CIBE001,,Bundle-Ether10,,BATS0002CIBE002,,Bundle-Ether10,
BATS0002CIBE001,,Bundle-Ether104,,LIPS0014CICN002,,Bundle-Ether101,
BATS0002CIBE001,,Bundle-Ether108,,SJE00B06CICN002,,Bundle-Ether101,
BATS0002CIBE001,,Bundle-Ether256,,BABS0008CICNS01,,Bundle-Ether101,
BATS0002CIBE001,,Bundle-Ether10,,BATS0002CIBE002,,Bundle-Ether10,
BATS0002CIBE001,,Bundle-Ether254,,BATS0002CICNS01,,Bundle-Ether101,
BATS0002CIBE001,,Bundle-Ether10,,BATS0002CIBE002,,Bundle-Ether10,
BATS0002CIBE001,,Bundle-Ether10,,BATS0002CIBE002,,Bundle-Ether10,
BATS0002CIBE001,,Bundle-Ether31,,LCN04117CIBP001,,Bundle-Ether35,
BATS0002CIBE001,,Bundle-Ether32,,LCN04117CIBP002,,Bundle-Ether35,
BATS0002CIBE002,,Bundle-Ether111,,TNWS0056CICN001,,Bundle-Ether102,
BATS0002CIBE002,,Bundle-Ether252,,BATS0002CICU001,,Bundle-Ether252,
BATS0002CIBE002,,Bundle-Ether10,,BATS0002CIBE001,,Bundle-Ether10,
BATS0002CIBE002,,Bundle-Ether112,,TNWS0056CICN002,,Bundle-Ether102,
BATS0002CIBE002,,Bundle-Ether103,,LIPS0014CICN001,,Bundle-Ether102,
BATS0002CIBE002,,Bundle-Ether107,,SJE00B06CICN001 ,,Bundle-Ether102,
BATS0002CIBE002,,Bundle-Ether104,,LIPS0014CICN002,,Bundle-Ether102,
BATS0002CIBE002,,Bundle-Ether108,,SJE00B06CICN002,,Bundle-Ether102,
BATS0002CIBE002,,Bundle-Ether10,,BATS0002CIBE001,,Bundle-Ether10,
BATS0002CIBE002,,Bundle-Ether255,,BATS0002CICNS01,,Bundle-Ether255,
BATS0002CIBE002,,Bundle-Ether10,,BATS0002CIBE001,,Bundle-Ether10,
BATS0002CIBE002,,Bundle-Ether10,,BATS0002CIBE001,,Bundle-Ether10,
BATS0002CIBE002,,Bundle-Ether31,,LCN04117CIBP001,,Bundle-Ether36,
BATS0002CIBE002,,Bundle-Ether32,,LCN04117CIBP002,,Bundle-Ether36,
