HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
BATS0002CIBE001,,Bundle-Ether1001.4081,,BATS0002CIBE001,,Bundle-Ether1001.4081,
BATS0002CIBE001,,GigabitEthernet0/1/0/45,,BATS0002CIBE001,,GigabitEthernet0/1/0/45,
BATS0002CIBE001,,Bundle-Ether20000.160,,BATS0002CIBE001,,Bundle-Ether20000.160,
BATS0002CIBE001,,Bundle-Ether20000.170,,BATS0002CIBE001,,Bundle-Ether20000.170,
BATS0002CIBE001,,TenGigE0/6/0/43.4012,,BATS0002CIBE001,,TenGigE0/6/0/43.4012,
BATS0002CIBE001,,Bundle-Ether20000.183,,BATS0002CIBE001,,Bundle-Ether20000.183,
BATS0002CIBE001,,TenGigE0/6/0/43.4013,,BATS0002CIBE001,,TenGigE0/6/0/43.4013,
BATS0002CIBE001,,Bundle-Ether60002.3100,,BATS0002CIBE001,,Bundle-Ether60002.3100,
BATS0002CIBE001,,TenGigE0/1/0/4.4073,,BATS0002CIBE001,,TenGigE0/1/0/4.4073,
BATS0002CIBE001,,TenGigE0/1/0/14.3100,,BATS0002CIBE001,,TenGigE0/1/0/14.3100,
BATS0002CIBE001,,Bundle-Ether60002.3101,,BATS0002CIBE001,,Bundle-Ether60002.3101,
BATS0002CIBE001,,TenGigE0/1/0/4.4075,,BATS0002CIBE001,,TenGigE0/1/0/4.4075,
BATS0002CIBE001,,Bundle-Ether60002.3102,,BATS0002CIBE001,,Bundle-Ether60002.3102,
BATS0002CIBE001,,Bundle-Ether20000.130,,BATS0002CIBE001,,Bundle-Ether20000.130,
BATS0002CIBE001,,TenGigE0/1/0/4.4072,,BATS0002CIBE001,,TenGigE0/1/0/4.4072,
BATS0002CIBE001,,Bundle-Ether20000.50,,BATS0002CIBE001,,Bundle-Ether20000.50,
BATS0002CIBE001,,Bundle-Ether60002.3103,,BATS0002CIBE001,,Bundle-Ether60002.3103,
BATS0002CIBE001,,Bundle-Ether20000.20,,BATS0002CIBE001,,Bundle-Ether20000.20,
BATS0002CIBE001,,Bundle-Ether20000.180,,BATS0002CIBE001,,Bundle-Ether20000.180,
