HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
KAWS0016CIBE002,10.205.138.64,Bundle-Ether10,,KAWS0016CIBE001,10.205.142.67,Bundle-Ether10,
KAWS0016CIBE002,10.205.138.65,Bundle-Ether31,,MKTG3610CIBP002,,Bundle-Ether 51,
KAWS0016CIBE002,10.205.138.64,Bundle-Ether32,,SPC00E67CIBP001,,Bundle-Ether47,
KAWS0016CIBE002,10.205.138.65,Bundle-Ether102,,SILS0012CICN001 ,,Bundle-Ether101,
KAWS0016CIBE002,,Bundle-Ether105,,IMUS3559CICN001,,Bundle-Ether102,
KAWS0016CIBE002,,Bundle-Ether109,,BCR00S33CICN001,,Bundle-Ether109,
KAWS0016CIBE002,,Bundle-Ether110,,BCR00S33CICN002,,Bundle-Ether102,
KAWS0016CIBE002,,Bundle-Ether111,,IDGS0097CICN001,,Bundle-Ether101,
KAWS0016CIBE002,,Bundle-Ether116,,TMSPXTMCCICN002,,Bundle-Ether101,
KAWS0016CIBE002,,Bundle-Ether251,,KAWS0016CICU001,,Bundle-Ether251,
KAWS0016CIBE002,,Bundle-Ether253,,RSCS0075CICU001,,Bundle-Ether253,
KAWS0016CIBE002,,Bundle-Ether700,,,,,
KAWS0016CIBE002,,Bundle-Ether701,,,,,
KAWS0016CIBE002,,Bundle-Ether703,,KAWS0016CICN001,,Bundle-Ether703,
KAWS0016CIBE002,,Bundle-Ether704,,KAWS0016CICN002,,Bundle-Ether704,
