HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HundredGigEAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HundredGigEAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether31,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether10,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether32,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether31,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether101,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether32,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether102,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether101,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether700,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether102,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether701,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether60002,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether702,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether60002.4071,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether60002,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether60002.4073,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether60002.4071,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether60002.4074,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether60002.4073,,SFPN3827CIBE0002,10.205.138.45,Bundle-Ether60002.4075,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether60002.4074,,SFPN3827CIBE0002,10.205.138.45,HundredGigE0/0/0/0,
SFPN3827CIBE0001,10.205.138.44,Bundle-Ether60002.4075,,SFPN3827CIBE0002,10.205.138.45,HundredGigE0/0/0/1,
SFPN3827CIBE0001,10.205.138.44,HundredGigE0/0/0/0,,SFPN3827CIBE0002,10.205.138.45,HundredGigE0/0/0/12,
SFPN3827CIBE0001,10.205.138.44,HundredGigE0/0/0/1,,SFPN3827CIBE0002,10.205.138.45,GigabitEthernet0/1/0/44,
SFPN3827CIBE0001,10.205.138.44,HundredGigE0/0/0/12,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/5,
SFPN3827CIBE0001,10.205.138.44,HundredGigE0/0/0/14,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/6,
SFPN3827CIBE0001,10.205.138.44,HundredGigE0/0/0/19,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/7,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/1,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/8,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/2,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/12,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/3,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/13,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/4,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/14,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/5,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/15,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/6,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/16,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/7,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/19,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/8,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/20,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/9,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/1/0/21,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/12,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/6/0/16,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/19,,SFPN3827CIBE0002,10.205.138.45,TenGigE0/6/0/16.4074,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/20,,SFPN3827CIBE0002,10.205.138.45,HundredGigE0/7/0/0,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/1/0/21,,SFPN3827CIBE0002,10.205.138.45,HundredGigE0/7/0/12,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/6/0/16,,,,,
SFPN3827CIBE0001,10.205.138.44,TenGigE0/6/0/16.4074,,,,,
SFPN3827CIBE0001,10.205.138.44,HundredGigE0/7/0/0,,,,,
SFPN3827CIBE0001,10.205.138.44,HundredGigE0/7/0/12,,,,,
SFPN3827CIBE0001,10.205.138.44,HundredGigE0/7/0/18,,,,,
