HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
SILPXSILCICN001,10.205.140.94,HundredGigE0/2/0/35,,SILPXSILCICN002,,HundredGigE0/2/0/35,
SILPXSILCICN001,10.205.140.94,Bundle-Ether10,,SILPXSILCICN002,,Bundle-Ether10,
SILPXSILCICN001,10.205.140.94,HundredGigE0/2/0/0,,KAWS0016CIBE002,,HundredGigE0/0/0/30,
SILPXSILCICN001,10.205.140.94,Bundle-Ether101,,KAWS0016CIBE002,,Bundle-Ether102,
SILPXSILCICN001,10.205.140.94,HundredGigE0/3/2/0,,IDGPXIDGCICN001 ,,HundredGigE0/2/0/0,
SILPXSILCICN001,10.205.140.94,Bundle-Ether12,,IDGPXIDGCICN001 ,,Bundle-Ether11,
SILPXSILCICN001,10.205.140.94,GigabitEthernet0/3/0/8,,,,,
SILPXSILCICN002,10.205.140.95,HundredGigE0/2/0/0,,KAWS0016CIBE001,,HundredGigE0/7/0/30,
SILPXSILCICN002,10.205.140.95,Bundle-Ether101,,KAWS0016CIBE001,,,
SILPXSILCICN002,10.205.140.95,HundredGigE0/2/0/35,,SILPXSILCICN001,,HundredGigE0/2/0/35,
SILPXSILCICN002,10.205.140.95,Bundle-Ether10,,SILPXSILCICN001,,Bundle-Ether10,
SILPXSILCICN002,10.205.140.95,HundredGigE0/3/2/0,,IDGPXIDGCICN002 ,,HundredGigE0/2/0/0,
SILPXSILCICN002,10.205.140.95,Bundle-Ether12,,IDGPXIDGCICN002 ,,Bundle-Ether11,
