HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
SUB00527CIBE001,10.205.138.37,HundredGigE0/0/0/0,,MKTG3610CIBP001,10.205.136.1,HundredGigE0/1/0/3,
SUB00527CIBE001,10.205.138.37,Bundle-Ether31,,MKTG3610CIBP001,10.205.136.1,Bundle-Ether46,
SUB00527CIBE001,10.205.138.37,HundredGigE0/7/0/0,,SPC00E67CIBP002,10.205.136.4,HundredGigE0/1/0/33,
SUB00527CIBE001,10.205.138.37,Bundle-Ether32,,SPC00E67CIBP002,10.205.136.4,Bundle-Ether42,
SUB00527CIBE001,10.205.138.37,HundredGigE0/0/0/1,,SUB00527CIBE002,,HundredGigE0/0/0/1,
SUB00527CIBE001,10.205.138.37,Bundle-Ether10,,SUB00527CIBE002,,Bundle-Ether10,
SUB00527CIBE001,10.205.138.37,HundredGigE0/0/0/3,,BLA00N55CICU001,10.205.142.32,HundredGigE0/0/2/0,
SUB00527CIBE001,10.205.138.37,Bundle-Ether255,,BLA00N55CICU001,10.205.142.32,Bundle-Ether255,
SUB00527CIBE001,10.205.138.37,HundredGigE0/0/0/12,,,,,
SUB00527CIBE001,10.205.138.37,Bundle-Ether700,,,,,
SUB00527CIBE001,10.205.138.37,HundredGigE0/7/0/3,,OLGPXOLGCICU001,,HundredGigE0/0/2/0,
SUB00527CIBE001,10.205.138.37,Bundle-Ether252,,OLGPXOLGCICU001,,Bundle-Ether251,
SUB00527CIBE001,10.205.138.37,HundredGigE0/7/0/4,,SUB00527CICU001,,HundredGigE0/7/0/4,
SUB00527CIBE001,10.205.138.37,Bundle-Ether254,,SUB00527CICU001,,Bundle-Ether251,
SUB00527CIBE002,10.205.138.38,HundredGigE0/0/0/0,,MKTG3610CIBP002,,HundredGigE0/1/0/3,
SUB00527CIBE002,10.205.138.38,Bundle-Ether31,,MKTG3610CIBP002,,Bundle-Ether46,
SUB00527CIBE002,10.205.138.38,HundredGigE0/7/0/0,,SPC00E67CIBP001,,HundredGigE0/7/0/0,
SUB00527CIBE002,10.205.138.38,Bundle-Ether32,,SPC00E67CIBP001,,Bundle-Ether42,
SUB00527CIBE002,10.205.138.38,HundredGigE0/0/0/1,,SUB00527CIBE001,,HundredGigE0/0/0/1,
SUB00527CIBE002,10.205.138.38,Bundle-Ether10,,SUB00527CIBE001,,Bundle-Ether10,
SUB00527CIBE002,10.205.138.38,HundredGigE0/0/0/3,,BLA00N55CICU001,,HundredGigE0/0/0/2,
SUB00527CIBE002,10.205.138.38,Bundle-Ether255,,BLA00N55CICU001,,Bundle-Ether256,
SUB00527CIBE002,10.205.138.38,HundredGigE0/7/0/3,,OLGPXOLGCICU001,,HundredGigE0/1/2/0,
SUB00527CIBE002,10.205.138.38,Bundle-Ether252,,OLGPXOLGCICU001,,Bundle-Ether252,
SUB00527CIBE002,10.205.138.38,HundredGigE0/7/0/4,,SUB00527CICU001,,HundredGigE0/1/2/0,
SUB00527CIBE002,10.205.138.38,Bundle-Ether252,,SUB00527CICU001,,Bundle-Ether252,
SUB00527CIBE002,10.205.138.38,HundredGigE0/7/0/12,,,,,
SUB00527CIBE002,10.205.138.38,Bundle-Ether701,,xxx,,,
kkk,,,,,,,
