HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
SXLPXSXLCIBE001,10.205.138.72,HundredGigE0/0/0/0,,LCN04117CIBP001,10.205.138.66,HundredGigE0/0/0/2,
SXLPXSXLCIBE001,10.205.138.72,Bundle-Ether31,,LCN04117CIBP001,10.205.138.66,Bundle-Ether39,
SXLPXSXLCIBE001,10.205.138.72,HundredGigE0/7/0/5,,SXL04178CICU001,10.205.142.80,HundredGigE0/0/2/0,
SXLPXSXLCIBE001,10.205.138.72,Bundle-Ether252,,SXL04178CICU001,10.205.142.80,Bundle-Ether201,
SXLPXSXLCIBE001,10.205.138.72,HundredGigE0/0/0/1,,SXLPXSXLCIBE002,10.205.138.73,HundredGigE0/0/0/1,
SXLPXSXLCIBE001,10.205.138.72,Bundle-Ether10,,SXLPXSXLCIBE002,10.205.138.73,Bundle-Ether10,
SXLPXSXLCIBE002,10.205.138.73,HundredGigE0/7/0/0,,LCN04117CIBP002,10.205.138.67,HundredGigE0/1/0/2,
SXLPXSXLCIBE002,10.205.138.73,Bundle-Ether32,,LCN04117CIBP002,10.205.138.67,Bundle-Ether40,
SXLPXSXLCIBE002,10.205.138.73,HundredGigE0/7/0/5,,SXL04178CICU001,10.205.142.80,HundredGigE0/1/2/0,
SXLPXSXLCIBE002,10.205.138.73,Bundle-Ether252,,SXL04178CICU001,10.205.142.80,Bundle-Ether202,
SXLPXSXLCIBE002,10.205.138.73,HundredGigE0/0/0/1,,SXLPXSXLCIBE001,10.205.138.72,HundredGigE0/0/0/1,
SXLPXSXLCIBE002,10.205.138.73,Bundle-Ether10,,SXLPXSXLCIBE001,10.205.138.72,Bundle-Ether10,
