HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
BATS0002CIBE001,10.205.138.68,HundredGigE0/0/0/0,,,,,
BATS0002CIBE001,10.205.138.68,Bundle-Ether31,,,,,
BATS0002CIBE001,10.205.138.68,HundredGigE0/7/0/0,,,,,
BATS0002CIBE001,10.205.138.68,Bundle-Ether32,,,,,
BATS0002CIBE002,10.205.138.69,HundredGigE0/0/0/0,,,,,
BATS0002CIBE002,10.205.138.69,Bundle-Ether31,,,,,
BATS0002CIBE002,10.205.138.69,HundredGigE0/7/0/0,,,,,
BATS0002CIBE002,10.205.138.69,Bundle-Ether32,,,,,
NSBS0051CIBE001,10.205.138.70,HundredGigE0/0/0/0,,,,,
NSBS0051CIBE001,10.205.138.70,Bundle-Ether31,,,,,
NSBS0051CIBE001,10.205.138.70,HundredGigE0/7/0/0,,,,,
NSBS0051CIBE001,10.205.138.70,Bundle-Ether32,,,,,
NSBS0051CIBE002,10.205.138.71,HundredGigE0/0/0/0,,,,,
NSBS0051CIBE002,10.205.138.71,Bundle-Ether31,,,,,
NSBS0051CIBE002,10.205.138.71,HundredGigE0/7/0/0,,,,,
NSBS0051CIBE002,10.205.138.71,Bundle-Ether32,,,,,
LCN04117CIBP001,10.205.136.64,HundredGigE0/0/0/0,,,,,
LCN04117CIBP001,10.205.136.64,Bundle-Ether31,,,,,
LCN04117CIBP002,10.205.136.65,HundredGigE0/0/0/0,,,,,
LCN04117CIBP002,10.205.136.65,Bundle-Ether31,,,,,
