HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
,,,,LCN04117CIBP001,  10.205.136.64,HundredGigE0/0/0/1,
,,,,LCN04117CIBP001,  10.205.136.64,Bundle-Ether35,
,,,,LCN04117CIBP002,  10.205.136.65,HundredGigE0/0/0/1,
,,,,LCN04117CIBP002,  10.205.136.65,Bundle-Ether35,
,,,,LCN04117CIBP001,  10.205.136.64,HundredGigE0/1/0/1,
,,,,LCN04117CIBP001,  10.205.136.64,Bundle-Ether36,
,,,,LCN04117CIBP002,  10.205.136.65,HundredGigE0/1/0/1,
,,,,LCN04117CIBP002,  10.205.136.65,Bundle-Ether36,
,,,,LCN04117CIBP001,  10.205.136.64,HundredGigE0/0/0/34,
,,,,LCN04117CIBP001,  10.205.136.64,Bundle-Ether37,
,,,,LCN04117CIBP002,  10.205.136.65,HundredGigE0/0/0/34,
,,,,LCN04117CIBP002,  10.205.136.65,Bundle-Ether37,
,,,,LCN04117CIBP001,  10.205.136.64,HundredGigE0/1/0/34,
,,,,LCN04117CIBP001,  10.205.136.64,Bundle-Ether38,
,,,,LCN04117CIBP002,  10.205.136.65,HundredGigE0/1/0/34,
,,,,LCN04117CIBP002,  10.205.136.65,Bundle-Ether38,
,,,,MKTG3610CIBP001,10.205.136.1,HundredGigE0/0/0/0,
,,,,MKTG3610CIBP001,10.205.136.1,Bundle-Ether31,
,,,,MKTG3610CIBP002,10.205.136.2,HundredGidE0/0/0/0,
,,,,MKTG3610CIBP002,10.205.136.2,Bundle-Ether31,
